player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,competition_id,season_name,season_id,position_group,minutes_full_all,minutes_full_tip,minutes_full_otip,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,explacceltosprint_count_full_all,timetosprint_top3,psv99,psv99_top5,total_distance_full_tip,total_metersperminute_full_tip,running_distance_full_tip,hsr_distance_full_tip,hsr_count_full_tip,sprint_distance_full_tip,sprint_count_full_tip,hi_distance_full_tip,hi_count_full_tip,medaccel_count_full_tip,highaccel_count_full_tip,meddecel_count_full_tip,highdecel_count_full_tip,explacceltohsr_count_full_tip,explacceltosprint_count_full_tip,total_distance_full_otip,total_metersperminute_full_otip,running_distance_full_otip,hsr_distance_full_otip,hsr_count_full_otip,sprint_distance_full_otip,sprint_count_full_otip,hi_distance_full_otip,hi_count_full_otip,medaccel_count_full_otip,highaccel_count_full_otip,meddecel_count_full_otip,highdecel_count_full_otip,explacceltohsr_count_full_otip,explacceltosprint_count_full_otip
Joshua Brillante,J. Brillante,5468,3/25/93,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Midfield,87.22,25.55,24.34,20,0,10833.15,124.21,1920.25,529.65,44.6,105.5,5.5,635.15,50.1,121.85,3.05,103.55,14.35,2.2,0.73,0.65,1.51,27.11,28.78,3863.45,151.2,751.7,124.45,10.8,20.35,0.85,144.8,11.65,41.25,0.7,33,3.1,0.35,0,4141.2,170.12,1001.6,370.9,30.05,77.85,3.7,448.75,33.75,48.85,0.95,35.95,5.7,0.7,0.2
Juan Manuel Mata García,Juan Mata,5521,4/28/88,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Center Forward,63.18,23.33,17.02,1,0,7734,122.41,1212,516,35,36,3,552,38,78,3,63,9,2,,0,,25.7,25.7,3465,148.5,676,257,20,22,1,279,21,35,1,23,2,0,0,2541,149.32,411,257,13,14,0,271,13,21,2,20,3,0,0
Juan Manuel Mata García,Juan Mata,5521,4/28/88,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Midfield,68.36,18.35,18.77,3,0,8418.67,123.16,1511.33,301,26.33,45.33,3,346.33,29.33,84.33,2.33,73.33,10.33,0.33,,0,,25.73,25.73,2908.67,158.51,666.33,99.33,7.33,21.33,0.67,120.67,8,25.67,0.33,19.67,2,0,0,3126.67,166.61,721,179.33,15,20.67,1,200,16,34,0,27.33,3.33,0,0
Kévin Boli,K. Boli,5805,6/21/91,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Central Defender,93.14,24.3,24.05,8,0,8978.88,96.4,925.88,317.12,29,72.75,4,389.88,33,97.38,4.38,81,9.25,3,0.78,0.5,,27.52,28.48,2868.75,118.07,287.38,65.5,6.75,14.88,0.75,80.38,7.5,26.25,1.38,20.12,2.25,0.5,0,3203.38,133.18,497.38,211.12,18,49.5,2.12,260.62,20.12,40.62,1.88,29,2,1.12,0.38
Marco Rojas,M. Rojas,6799,11/5/91,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Wide Attacker,68.47,24.22,19.92,1,0,9037,131.99,1446,695,60,249,12,944,72,85,4,75,14,4,,0,,29,29,3630,149.9,613,303,33,200,8,503,41,38,2,25,4,0,0,3235,162.43,707,333,26,47,3,380,29,27,1,26,6,1,0
Marin Jakoliš,M. Jakoliš,6871,12/26/96,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Center Forward,99.78,23.6,29.88,2,0,10751.5,107.75,1362,437,49,171.5,8.5,608.5,57.5,96,5.5,82,13.5,4,,2,,30.45,30.45,3452,146.27,638.5,205,21,87,4,292,25,33.5,2,23,2.5,1,0.5,3937.5,131.8,582.5,205,22.5,67,3,272,25.5,34.5,2,31,5.5,2,0.5
Marin Jakoliš,M. Jakoliš,6871,12/26/96,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Full Back,98.12,25.4,22.32,1,0,9796,99.84,1212,462,50,193,13,655,63,107,5,84,22,2,,0,,27.6,27.6,3456,136.06,672,210,27,126,7,336,34,41,3,30,7,0,0,2940,131.74,405,209,19,53,4,262,23,40,2,26,5,2,0
Marin Jakoliš,M. Jakoliš,6871,12/26/96,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Midfield,96.2,26.58,23.98,1,0,10307,107.14,1293,469,48,209,11,678,59,95,3,87,10,0,,0,,30.2,30.2,3681,138.47,600,219,26,109,6,328,32,32,1,26,3,0,0,3271,136.39,518,213,18,73,4,286,22,33,1,29,3,0,0
Marin Jakoliš,M. Jakoliš,6871,12/26/96,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Wide Attacker,92.85,25.68,24.76,20,0,9868.35,106.28,1192.45,540.25,54.95,212.55,11,752.8,65.95,100.2,5.6,84.55,16.45,4.45,0.69,1.45,1.35,29.93,31.68,3520.5,137.09,584.4,296.95,29.2,135.55,6.05,432.5,35.25,40.3,2.4,27.4,4.95,1.95,0.7,3279,132.41,479.5,199.5,19.85,56.55,2.65,256.05,22.5,32.45,1.6,27.15,3.9,1,0.3
Mathew Leckie,M. Leckie,7252,2/4/91,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Midfield,89.51,25.3,21.95,6,0,10473.67,117.01,1568,506.5,52,173.5,9.5,680,61.5,112.33,5.17,97.17,17,3.67,0.62,0.83,1.35,28.83,29.3,3663.5,144.79,621.33,215.83,23,71.17,4.33,287,27.33,40.5,1.67,31.17,4.83,1.5,0.17,3658.5,166.7,795,263,25.5,89.17,4.17,352.17,29.67,40.67,2.17,30.33,4.5,1.5,0.17
